City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Port Lincoln,AU,2021-02-07 22:29:29,-34.7333,135.8667,61.14,76,78,15.97
67,Port Hardy,CA,2021-02-07 22:25:01,50.6996,-127.4199,41.0,70,40,16.11
68,Danilovka,RU,2021-02-07 22:29:29,50.3557,44.1168,1.06,90,25,11.27
69,East London,ZA,2021-02-07 22:29:29,-33.0153,27.9116,71.78,84,92,9.84
70,Ust-Koksa,RU,2021-02-07 22:29:30,50.2696,85.6108,21.63,92,80,2.55
71,Ostrovnoy,RU,2021-02-07 22:29:25,68.0531,39.5131,6.3,94,85,11.21
72,Cap Malheureux,MU,2021-02-07 22:29:31,-19.9842,57.6142,75.99,86,66,1.01
73,Longyearbyen,SJ,2021-02-07 22:29:31,78.2186,15.6401,15.8,48,20,16.11
74,Hilo,US,2021-02-07 22:26:08,19.7297,-155.09,82.4,42,1,4.61
75,Geraldton,AU,2021-02-07 22:29:32,-28.7667,114.6,68.0,83,75,9.22
76,Hong Gai,VN,2021-02-07 22:29:32,20.956,107.0946,68.0,94,86,3.44
77,Tornio,FI,2021-02-07 22:29:32,65.8481,24.1466,-4.0,84,0,1.14
78,Teya,RU,2021-02-07 22:29:33,60.3778,92.6267,21.11,92,73,14.47
79,Verkhnyaya Inta,RU,2021-02-07 22:29:33,65.9811,60.3094,-13.29,89,100,8.81
80,Kapaa,US,2021-02-07 22:29:33,22.0752,-159.319,75.99,56,1,5.75
81,Butaritari,KI,2021-02-07 22:28:50,3.0707,172.7902,81.28,80,93,19.15
82,Barrow,US,2021-02-07 22:28:47,71.2906,-156.7887,-25.6,68,1,10.36
83,Ranong,TH,2021-02-07 22:29:34,9.9658,98.6348,74.23,88,12,3.65
84,Namatanai,PG,2021-02-07 22:29:34,-3.6667,152.4333,82.76,75,100,3.62
85,Dombas,NO,2021-02-07 22:29:34,62.0696,9.1235,-0.02,73,0,2.39
86,Port Hedland,AU,2021-02-07 22:29:34,-20.3167,118.5667,75.2,88,31,6.91
87,Tomatlan,MX,2021-02-07 22:29:34,19.9333,-105.25,81.86,57,1,8.75
88,Cherskiy,RU,2021-02-07 22:29:34,68.75,161.3,-3.53,68,5,1.5
89,Kargil,IN,2021-02-07 22:29:35,34.5667,76.1,-0.94,71,17,1.66
90,Otane,NZ,2021-02-07 22:29:35,-39.8833,176.6333,76.08,41,0,4.25
91,Clyde River,CA,2021-02-07 22:29:35,70.4692,-68.5914,-2.2,84,75,11.5
