City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
500,Puerto Escondido,MX,84.2,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
502,Mogadishu,SO,77.32,few clouds,2.0371,45.3438,Hotel Juba
506,Sulangan,PH,79.3,moderate rain,11.1373,123.7228,Maia's Beach Resort
511,Honiara,SB,86.7,moderate rain,-9.4333,159.95,Heritage Park Hotel
517,Venado Tuerto,AR,75.99,clear sky,-33.7456,-61.9688,La Bianca.
519,Jucurutu,BR,83.88,overcast clouds,-6.0339,-37.0203,Pousada Miike
526,Liku,ID,79.27,overcast clouds,-0.7275,119.8922,Agoes Liverpool
530,Calabar,NG,80.24,overcast clouds,4.9517,8.322000000000001,NAKS Hotels (Formerly NAF Club)
539,Juru,MY,78.8,few clouds,5.312,100.4423,Luscious Hotel
544,Ahuimanu,US,78.8,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
550,Angoche,MZ,77.94,scattered clouds,-16.2325,39.9086,Guest House HESADA
554,Badiraguato,MX,75.0,broken clouds,25.3667,-107.5167,"Hotel ""Real Del Campo"""
557,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
576,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
577,Ugoofaaru,MV,81.36,few clouds,5.6667,73.0,Ungoofaaru Inn
583,Serendah,MY,77.0,few clouds,3.3646,101.6041,Casavilla Hotel - Rawang
586,Kimbe,PG,85.91,light rain,-5.5502,150.1429,Kimbe Bay Hotel
592,Lufilufi,WS,82.4,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
594,Ambon,ID,80.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
597,Alabat,PH,79.0,scattered clouds,14.1028,122.0153,Mommy Lola's Homestay
601,San Pedro,PH,81.0,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
604,Alofi,NU,86.0,broken clouds,-19.0595,-169.9187,Taloa Heights
608,Samana,DO,78.8,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
609,Kokopo,PG,84.76,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
610,Manta,EC,82.4,broken clouds,-0.95,-80.7333,Balandra Hotel
614,Porto Belo,BR,75.2,scattered clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
618,Tecoanapa,MX,81.32,clear sky,16.5167,-98.75,Hotel Manglares
619,Saint-Paul,RE,75.2,moderate rain,-21.0096,55.2707,Boucan Canot
632,Arawa,PG,89.49,few clouds,-6.2132,155.5367,Coastline Guest House
633,Oranjestad,AW,78.8,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
634,Santa Maria,BR,77.0,few clouds,-29.6842,-53.8069,Hotel Morotin
637,Tan An,VN,77.0,broken clouds,10.5333,106.4167,Mỹ Đình
645,Srandakan,ID,77.85,overcast clouds,-7.9386,110.2506,Puri Brata
653,Urucara,BR,78.12,overcast clouds,-2.5364,-57.76,Hotel japa
654,El Salto,MX,79.0,clear sky,20.3333,-104.5,ramirez
655,Saint-Pierre,RE,80.6,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
656,Banjarmasin,ID,77.0,broken clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
659,Palu,ID,80.42,broken clouds,-0.8917,119.8707,Hotel Santika Palu
664,Bourail,NC,82.54,scattered clouds,-21.5667,165.4833,Motel Allamanda
665,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
668,Vanimo,PG,83.48,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
672,Sola,VU,87.8,few clouds,-13.8833,167.55,Leumerus Bungalows
677,Carmen,MX,78.8,clear sky,18.6333,-91.8333,Hotel Lossandes
678,Bubaque,GW,78.26,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
681,Terra Santa,BR,79.41,broken clouds,-2.1042,-56.4869,Hotel Sarah
682,Camocim,BR,79.47,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
686,Carutapera,BR,77.14,moderate rain,-1.195,-46.02,Lidera
688,Bontang,ID,79.86,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
697,Tutoia,BR,80.42,clear sky,-2.7619,-42.2744,Pousada Guará's
698,Santa Cruz,BO,86.0,scattered clouds,-17.8,-63.1667,Hotel Cortez
