City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Luderitz,NA,-26.6481,15.1594,67.93,55,0,27.65,clear sky
80,Mahebourg,MU,-20.4081,57.7,78.8,83,40,5.75,light rain
81,Kamenka,RU,51.3223,42.7678,-8.19,91,8,8.93,clear sky
82,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,17.27,scattered clouds
83,Isangel,VU,-19.55,169.2667,84.2,74,40,6.91,scattered clouds
84,Tarabuco,BO,-19.1667,-64.9167,50.92,95,100,6.2,overcast clouds
85,Fort-De-France,MQ,14.6089,-61.0733,73.4,88,20,14.72,few clouds
86,Nanortalik,GL,60.1432,-45.2371,30.6,87,90,16.64,overcast clouds
87,Norman Wells,CA,65.282,-126.8329,-23.8,76,40,3.44,scattered clouds
88,Dikson,RU,73.5069,80.5464,-32.49,85,90,14.97,overcast clouds
89,Hamilton,US,39.1834,-84.5333,19.99,49,75,1.01,broken clouds
90,Bayji,IQ,34.9311,43.487,54.18,54,0,4.05,clear sky
91,Port-Gentil,GA,-0.7193,8.7815,77.0,94,20,3.44,few clouds
92,Tasiilaq,GL,65.6145,-37.6368,26.6,46,0,9.22,clear sky
93,Mataura,NZ,-46.1927,168.8643,71.76,44,100,3.18,overcast clouds
94,Ocos,GT,14.5094,-92.1933,89.6,61,1,4.61,clear sky
95,Esna,EG,25.2934,32.554,60.8,67,0,3.44,clear sky
96,Cherskiy,RU,68.75,161.3,2.75,70,12,4.65,few clouds
97,Lamu,KE,-2.2717,40.902,78.8,83,1,3.44,clear sky
98,Ilulissat,GL,69.2167,-51.1,19.4,49,0,24.16,clear sky
99,Hobart,AU,-42.8794,147.3294,62.6,51,75,12.66,broken clouds
100,Souillac,MU,-20.5167,57.5167,78.8,83,40,5.75,light rain
101,Aleksandrov Gay,RU,50.147,48.5704,3.42,88,79,13.09,broken clouds
102,Katsuura,JP,35.1333,140.3,46.4,53,40,11.5,scattered clouds
103,Ambilobe,MG,-13.2,49.05,74.68,91,97,1.74,overcast clouds
104,Iqaluit,CA,63.7506,-68.5145,30.2,74,90,18.41,light snow
105,Basco,PH,20.4487,121.9702,73.56,83,57,23.53,broken clouds
106,Bani,DO,18.2833,-70.3333,80.01,75,45,5.01,scattered clouds
107,Coquimbo,CL,-29.9533,-71.3436,62.6,72,0,11.5,clear sky
108,Jamestown,US,42.097,-79.2353,12.99,79,90,12.66,light snow
109,Inirida,CO,3.8653,-67.9239,75.88,92,100,0.56,overcast clouds
